Shipment_ID,Country,City,Warehouse,Transport_Mode,Distance_km,Delivery_Time_days,Expected_Delivery_days,Delay_days,Shipping_Cost,Order_Value,Order_Date,Delivery_Date
SHP-100000,Cameroon,Douala,WH-East-1,Air,1098,2,2,0,490.22,4357.65,2024-02-25,2024-02-27
SHP-100001,Kenya,Nairobi,WH-East-2,Air,806,2,2,0,660.76,2273.34,2023-07-23,2023-07-25
SHP-100002,Cameroon,Bafoussam,WH-East-1,Truck,494,2,1,1,276.51,2668.33,2024-02-19,2024-02-21
SHP-100003,Rwanda,Kigali,WH-East-1,Truck,809,3,2,1,386.81,3484.32,2023-11-05,2023-11-08
SHP-100004,Ethiopia,Mekelle,WH-East-1,Truck,894,2,2,0,748.61,1087.3,2024-11-09,2024-11-11
SHP-100005,Cameroon,Bafoussam,WH-West-1,Truck,116,2,1,1,71.58,4177.94,2023-09-07,2023-09-09
SHP-100006,Ethiopia,Dire Dawa,WH-East-1,Air,1037,2,2,0,419.38,4114.21,2024-05-09,2024-05-11
SHP-100007,Kenya,Kisumu,WH-West-1,Truck,1144,3,2,1,563.64,4342.9,2024-03-12,2024-03-15
SHP-100008,Kenya,Nairobi,WH-Central-1,Truck,708,2,1,1,785.72,2466.63,2023-03-25,2023-03-27
SHP-100009,Uganda,Kampala,WH-Central-1,Rail,1442,4,3,1,1146.44,2709.12,2023-10-27,2023-10-31
SHP-100010,Ethiopia,Dire Dawa,WH-East-1,Air,934,2,2,0,680.24,3826.65,2023-06-10,2023-06-12
SHP-100011,Ethiopia,Addis Ababa,WH-West-1,Truck,1042,3,2,1,1143.25,4057.63,2023-05-11,2023-05-14
SHP-100012,Tanzania,Dodoma,WH-Central-1,Truck,938,3,2,1,989.04,4331.51,2023-01-05,2023-01-08
SHP-100013,Cameroon,Douala,WH-East-1,Air,314,1,1,0,210.41,4725.97,2023-08-15,2023-08-16
SHP-100014,Nigeria,Abuja,WH-East-1,Rail,1654,4,4,0,1038.5,377.06,2024-03-02,2024-03-06
SHP-100015,Nigeria,Lagos,WH-West-1,Truck,889,2,2,0,525.98,895.5,2023-12-09,2023-12-11
SHP-100016,Cameroon,Yaounde,WH-East-2,Truck,1357,4,3,1,1230.56,2771.72,2023-03-05,2023-03-09
SHP-100017,Kenya,Kisumu,WH-Central-1,Air,339,1,1,0,140.1,2658.05,2023-06-08,2023-06-09
SHP-100018,Cameroon,Bafoussam,WH-East-1,Truck,475,2,1,1,541.38,4411.23,2023-06-30,2023-07-02
SHP-100019,Kenya,Kisumu,WH-East-2,Truck,771,2,1,1,457.57,646.89,2024-09-20,2024-09-22
SHP-100020,Uganda,Gulu,WH-East-2,Air,1003,2,2,0,1113.0,3943.4,2024-03-25,2024-03-27
SHP-100021,Nigeria,Lagos,WH-East-2,Rail,1018,3,2,1,970.68,3329.41,2023-06-06,2023-06-09
SHP-100022,Nigeria,Abuja,WH-West-1,Truck,510,2,1,1,472.31,2927.88,2023-03-07,2023-03-09
SHP-100023,Kenya,Kisumu,WH-Central-1,Truck,1065,2,2,0,963.73,4015.09,2023-12-18,2023-12-20
SHP-100024,Uganda,Gulu,WH-West-1,Truck,794,3,1,2,914.98,4778.86,2024-10-02,2024-10-05
SHP-100025,Kenya,Nairobi,WH-Central-1,Air,1092,2,2,0,773.22,4285.46,2023-08-10,2023-08-12
SHP-100026,Uganda,Entebbe,WH-West-1,Truck,985,2,2,0,878.63,4952.26,2023-04-09,2023-04-11
SHP-100027,Kenya,Kisumu,WH-West-1,Truck,961,3,2,1,924.47,1925.56,2023-07-25,2023-07-28
SHP-100028,Rwanda,Kigali,WH-East-2,Truck,1106,3,2,1,1063.5,4019.8,2024-09-15,2024-09-18
SHP-100029,Nigeria,Kano,WH-West-1,Truck,1354,3,3,0,580.53,2434.87,2024-01-15,2024-01-18
SHP-100030,Uganda,Gulu,WH-West-1,Truck,1174,2,2,0,1192.78,1235.94,2024-03-12,2024-03-14
SHP-100031,Ethiopia,Addis Ababa,WH-East-1,Air,468,2,1,1,552.56,2678.24,2023-08-15,2023-08-17
SHP-100032,Ethiopia,Dire Dawa,WH-Central-1,Truck,635,2,1,1,461.75,1031.81,2023-04-20,2023-04-22
SHP-100033,Uganda,Kampala,WH-West-1,Truck,1246,4,3,1,777.44,4783.35,2024-05-31,2024-06-04
SHP-100034,Cameroon,Bafoussam,WH-Central-1,Sea,1748,6,4,2,719.33,757.15,2023-02-02,2023-02-08
SHP-100035,Nigeria,Lagos,WH-East-1,Rail,616,1,1,0,479.73,1031.37,2023-10-31,2023-11-01
